RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CC=1C=CC=CC1OC=2N=CC=CC2NC(N)=O	Z1278252659	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.494130202774813	Isis-22
Cl.NCC1=NC(=CS1)C(=O)N2CC3(CCCC3)C=4C(F)=CC=CC42	Z1458827010	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494117647058824	Compound 9
NC1CCC=2C=CC=CC2N(CC3=CSC(=N3)C=4N=CC=CN4)C1	Z2605462032	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494117647058824	Compound 9
Cl.Cl.NCC1=CC=2C=CC(Br)=CC2C=N1	Z4954469292	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494117647058824	VS compound 8c
O=C(NCCC=1C=CC=2C=NNC2C1)C3CCCN3C4=NC=NC5=CC=CC=C45	Z2078254683	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494117647058824	VS compound 8c
COC=1C=C(NC(=O)C=2C=CN(N2)C3CCOCC3)C(=CC1OC)C(N)=O	Z2702007102	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.494117647058824	Compound 10
C=CCN1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CC=4C=C(C)C=CC4C	Z239086208	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.494110718492344	Isis-22
CC1=CC(=NN1)C=2C=CC(=CC2)OC(C(=O)O)C=3C=CC=CC3	Z6395337531	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.494105037513398	Isis-22
CC(C)N1CCCC(CNC(=O)C2CCC=3NN=NC3C2)C1	Z2028648875	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.494105037513398	Benzimidazole13ibis
NCC(C(=O)N(CC=1C=CC=CC1)CC=2C=CC=C(C2)C(N)=O)C3CCOC3	Z3100368186	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.494105037513398	Benzimidazole13ibis
CC=1C=C(C=CC1OCCN2CCOCC2)C=3C=C(N)NN3	Z4445856424	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.494105037513398	Benzimidazole13ibis
NC(=O)CN1C=2C=CC=CC2C(=O)NC1C=3C=CC(F)=CC3	Z281062172	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494103773584906	Compound 9
COC=1C=CC=2C=C3C=C(SC3=NC2C1)C(=O)O	Z56347316	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494102228047182	VS compound 8c
O=C(O)C(F)(F)F.CN(C(=O)CN1CCCC(CCC(=O)O)C1)C2CCCC=3C=CC=CC32	Z8879037488	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494102228047182	Compound 2ab
CC(=O)N(CC(=O)O)CC=1C=CC=CC1	Z1444358354	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.494089834515366	benzamide derivative
CC1=NC(COC=2C=CC=CC2C(=O)NC=3C=CC=4OC(C)C(=O)NC4C3)=NO1	Z225738034	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494089834515366	Compound 9
O=C(O)C=1C=CC=C(C1)C(=O)N2CCCC(C2)C3=NNC(=N3)C4CC4	Z2295669244	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494086727989487	Compound 2ab
COC=1N=C(C=C2C=CC=CC12)C(=O)NC3CCN(CC(N)=O)CC3	Z910466800	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494086727989487	Compound 2ab
N#CC=1C=CC(=CC1)CN2CCCN(CC2)C(=O)C3=CC4=CC=CC=C4NC3=O	Z238004446	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494071146245059	Compound 2ab
CC=1C=C(N2CCC=3C=CN=CC3C2)N4N=C(N=C4N1)C(F)(F)F	Z3071580373	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494066882416397	VS compound 8c
CN(CC=1C=CC=CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CCCC=4C=CC=CC4	Z238920692	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.494066208619613	Compound 2
O=C(NC=1C=CC=CC1O)C=2C=CC(=CC2)N3CCCCC3=O	Z198324286	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.49406528189911	Compound 9
CC1=CC=C(NC(=O)C=2C=CC=CC2N3C=CC=N3)C4=CC=CN=C14	Z424988542	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494061757719715	Compound 9
O=C(CCN1C=NC=N1)N2CCN(CC2)C3CCCN(C3=O)C=4C=CC=CC4	Z1625817311	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494055482166447	Compound 2ab
NC=1N=CN=C2SC=3CN(CCC3C12)C(=O)CC=4C(Cl)=CC=CC4F	Z167658038	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494054054054054	VS compound 8c
NC=1N=CC=NC1C(=O)NCC(C=2C(F)=CC=CC2Cl)N3CCCC3	Z384412388	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494047619047619	Compound 2ab
ClC=1C=CC=C(C1)CCNC=2N=CC=CN2	Z52585050	N=C(Nc1nc(C)cc(n1)C)NCCc1ccccc1	0.494047619047619	Biarylguanidine 2
Cc1ccccc1NC(c1c2CCCc2sc1N)=O	8010-1504	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494047619047619	Compound 9
COC=1C=CC(=CC1CC(=O)NC2=NN=CN2)C(C)=O	Z352539146	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.494041170097508	Benzimidazole13ibis
CC=1C=CC=C(C1)C=2C(=O)C=3C=CC=CC3N(C)C2NC(=O)C=4C=CC=CC4F	Z1007027400	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494041170097508	VS compound 8c
NC(=O)CCNC(=O)C(CC=1C=CC=CC1)NC(=O)C=2N=CC=NC2N	Z1418768605	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494039735099338	Compound 2ab
OCC=1C=CC=C(C1)NCC=2C=CC=C(C2)C=3C=CN=CC3	Z1823993186	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.494037478705281	Compound 10
CNC=1C=CC(=CN1)C(=O)N2CCC3=C(C=NN3C)C2C(=O)N(C)C	Z3416724562	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494028230184582	Compound 2ab
O=C(O)C=1C=CC(=CC1)CC2=NC=CS2	Z1346126980	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.49402390438247	Compound 2
COC=1C=C(SN1)C(=O)O	Z2301475282	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.49402390438247	Benzimidazole13ibis
Nc(cc1)ccc1NC(Nc1ccccc1)=S	509563	O=C(Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1cccc(c1)NC(=O)Nc1cc(ccc1C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1	0.49402390438247	Compound 7
O=C(O)C1CC2CCCCC2N1C(=O)C3=CNC(=O)C(Br)=C3	Z1443635451	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494019138755981	Compound 2ab
O=C(NC=1C=CC=CC1N2CCC=3SC=CC3C2)C=4C=CC=5OCCOC5C4	Z385152920	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.494019138755981	Compound 9
N=S1(=O)CCC(NC(=O)C=2C=CC=C(C2)C=3C=CNN3)C4=CC(F)=CC=C41	Z7671651891	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.494015233949946	Compound 2ab
CC=1C=CC(OCC(=O)N2CCC3=C(C2)SC=4N=CN=C(N)C43)=C(C)C1	Z168756664	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.494015233949946	VS compound 8c
CCCCn1cnc2cc(ccc12)NCc1cccc(c1)OC	C215-0084	CN(c1ccc2c(c1)nc1c(n2)cc(c(c1)N)C)C	0.494011976047904	Phenazine 1
NCC1=CN(N=N1)C2CCCN(C2)C(=O)C=3C=CC=4CC(N)CCC4C3	Z7702011383	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.49400479616307	Compound 9
O=C(CCCSC=1C=CC(Br)=CC1)NC2=NN=NN2	Z1156167615	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.494	Compound 2
CC=1C=C(C(=O)NC=2C=CC=C(C2)N3CCOC3=O)C=4C(=O)NN(C)C4N1	Z395932490	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493989071038251	Compound 9
CC=1C=CC=C(C1)OCC(=O)N2CCC3=C(C2)SC4=NC=NC(N)=C43	Z168754286	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493989071038251	VS compound 8c
CCN1CCN(CC1)C2=CC=C(C=C2F)C(=O)N3CCCCC3CCN	Z2465430814	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493975903614458	Compound 2ab
CC1=C(SC2=NC(C)=NC(N)=C12)C(=O)N3CC(C)CC3C	Z4074202075	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493962678375412	Compound 2ab
CC1=C(N=NN1C=2C=CC=C3CN(CC=4C=CC=NC4)CCC23)C(=O)NC(C)C	Z1170395482	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493962678375412	Compound 2ab
C1C(C(=C(N)N1c1ccc(cc1[Cl])[Cl])C1NC(c2ccccc2N=1)=O)=O	3643-1572	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493962678375412	VS compound 8c
Cl.NCC=1C=CC(=CC1)N2C=CN=N2	Z2515203806	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	0.493951612903226	Benzimidazole 11 / Isis-11
Cc1cn2cc(-c3cc(F)c(C(=O)NC4CCN(C)CC4)s3)nc2c(C)n1	Patent_dataset_14	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493949394939494	Compound 2ab
CCOc1nc(N2CCCC(OC3CNC3)C2)ncc1C(=O)Nc1cc(F)c2nc(C)cn2c1	Patent_dataset_216	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493949394939494	VS compound 8c
CCOc1nc(ncc1C(=O)Nc2cc(F)c3nc(C)cn3c2)N4CCCC(C4)OC5CNC5	Patent_dataset_219	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493949394939494	VS compound 8c
CC=1C=CC(=CC1)C(=O)NC2=C(C=3C=CC=C(C)C3)C(=O)C=4C=CC=CC4N2C	Z1007027378	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.49393605292172	VS compound 8c
Cc1cc(NCC(N2CCN(CC2)c2ccc(cc2)F)=O)n2c(n1)nc(c1cccnc1)n2	D494-0506	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493922651933702	Compound 9
O=C(O)C(C=1C=CC=NC1)N2CCCC2C3=NC=4C=CC=CC4S3	Z2482837969	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.49390919158361	Compound 2ab
CC1=NC2=NC(N)=NN2C(C)=C1CCC(=O)N3CCC4=CC(Cl)=CC=C43	Z2089148762	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.49390919158361	VS compound 8c
O=C1NC(=NC2=C1C=NN2C=3C=CC=CC3)N(CCC=4C=CC=CN4)CC=5C=CC=NC5	Z1966661169	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.49390919158361	VS compound 8c
O=C(NC=1C=CC(OC(F)F)=C2N=CC=CC12)NC3C=4C=CC=CC4CCC3N5C=CN=C5	Z1424684718	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493898895990703	Isis-22
Cn1cc2cc(-c3cn4nc(C5CCNCC5)nc4s3)cc(F)c2n1	Patent_dataset_41	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493895671476138	VS compound 8c
CCN1CCO[C@@H](CNC2=NC=CN3N=C(C)C=C23)[C@@H]1C4=CC=NN4C	Z2381675550	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493884682585906	Isis-22
CN1C(=O)C2=C(N=C(N2CC=3C=CC=CC3F)N4CCCCC4)N(C)C1=O	Z56849012	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493877551020408	Isis-22
CC1=CC=2N=CN=C(NCC=3C=CC=C(C3)OCCN(C)C4CCOCC4)C2N1	Z2090624523	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493872549019608	VS compound 8c
CN(C(=O)CN1CCC(CC1)C=2C=NNC2)C3CCS(=O)(=O)C3	Z989568310	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.49386845039019	Compound 4c
CC(NC(=O)C=1C=CC=C(C1)C=2C=NC=3NC(=O)N(C)C3C2)C4=CC=C5NC(=O)CC5=C4	Z1723433784	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.49386845039019	Compound 9
O=C(CNC=1N=CN=C2N=CNC12)NC=3C=CC(Br)=CC3	Z646302578	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.493854748603352	Compound 4a
CC=1C=CC(=CC1)OCCN2CCC(CC2)C(N)=O	Z54747794	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.493852459016394	Compound 1 (2017)
CN(CCNC(=O)C1=CC=C(S1)C=2C=CNN2)C(=O)C3=COC=4COCC34	Z8535460050	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493840985442329	Compound 2ab
NC1CCOC(C1)C2CCCN(C2)C(=O)C3=CC(=O)NC=4CCCCC34	Z3131987777	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493840985442329	Compound 2ab
O=C(O)C(F)(F)F.O=C(O)C(CC=1C=CN=CC1)NC(=O)C2CCCCO2	Z2895541207	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.493827160493827	Compound 4c
CC=1C=C(CSC2=NN=C3N(C)C=4C=CC=CC4N23)C=5C=CC=CC5N1	Z1357373190	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493827160493827	VS compound 8c
O=C(NC=1C=CC=C(C1)C2=CC=NN2)C3=CC(=O)NC4=CC(F)=CC=C34	Z1246498378	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.493827160493827	Compound 10
CC1OCCC1NC=2C=CC=3CCN(CC(N)=O)CC3C2	Z1918399769	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493827160493827	Compound 9
NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)NC1=CC2=C(C=C1)C1C3=CC=C(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C=C3C2C2=C1C=CC(NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])=C2 	Target_lig_626	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.493827160493827	Compound 4c
CCCN1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CC=4C=C(C)C=CC4C	Z239086236	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493819894055327	Isis-22
CN1C(=O)NC(=O)C2=C1N=C(N2CCC=3C=CC=CC3)N4CCN(CC=5C=CC=CC5F)CC4	Z237731612	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493805309734513	Isis-22
C#CC=1C=NC=C(C1)C(=O)NC2CCCC=3NC(=O)C(=CC32)C(N)=O	Z1978959453	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.49379932356257	Compound 9
NC(=O)CC=1C=CC=CC1NC(=O)C=2C=CC(=CC2)N3CCOC3=O	Z767254610	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493775933609959	Compound 9
CN1C=C(CN2CC=3NC=4C=CC=CC4C3CC2C(=O)O)N=N1	Z3061111131	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493771234428086	VS compound 8c
Cc1c(C(c2ccc(cc2)OC)=O)c2ccc(cc2n1CCN1CCOCC1)I	NCGC00025012-02	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493771234428086	VS compound 8c
O=C(CN1C=CN=N1)NCC2CCN(C2)C(=O)C=3C=CC(=CC3)C=4C=NNC4	Z5428539681	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.49375866851595	Compound 10
O=C(N[C@H]1[C@@H]2CN(CC=3C=CC=CC3)C[C@H]12)C4=CC=CC(=O)N4	Z2900718497	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.49375866851595	Compound 2ab
CN(CC1CCCN1C=2C=CC=NN2)C(C(N)=O)C=3C=CC(F)=CC3	Z1139254161	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493734335839599	Compound 2ab
CC=1C=C(C=CC1C(F)(F)F)NC(=O)C2=CN=C3NC(=O)NC3=C2	Z2163975464	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493734335839599	Compound 9
O=C(CCC1=NC(=O)NN1)N2CCC(C2)C3CCN(C3)C(=O)C4=NNC=5CSCCC45	Z4305549060	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493728620296465	Compound 2ab
CC1CC(C)CN(C1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC(C3=NC=CN3C)C=4C=CC=CC4F	Z167572940	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493728620296465	Compound 9
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(Cl)=CC4)CC3	Z238883314	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493723849372385	Isis-22
COC1=CC=2CCN(CC3=CN4C=CC=CC4=N3)C(C=5C=CC=CC5)C2C=C1OC	Z103807122	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493714285714286	VS compound 8c
CCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=C(Cl)C4)CC3	Z237736840	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.49370125974805	Isis-22
CN1C(=O)NC=2N=CC(=CC21)C=3C=CC=C(C3)C(=O)N4CC5CCCC(C4)C5O	Z1723443304	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493699885452463	Compound 2ab
NC(=O)C1=CC(=CO1)C(=O)N2CC(O)CC2C3=CC(F)=CC=C3F	Z1677831863	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493699885452463	Compound 2ab
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=CC4	Z239085088	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.49367850692354	Isis-22
NCC1CCN(C1)C(=O)C=2C=CC(=CC2F)C=3C=NC=NC3	Z2440103204	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.493670886075949	Compound 10
CC1=NNC=2C=CC(=CC12)C(=O)NC=3C=NN(C3)C4=CC=CC=C4S(C)(=O)=O	Z6559884787	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493670886075949	Compound 9
NC=1N=CC(=CN1)C(=O)NC=2C=CC=C3C=CC=NC23	Z2069022788	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.493670886075949	Quindoline CK1-14
O=C(N[C@@H]1CNC[C@@H]1N2C=CN=N2)C=3C=CC(Cl)=CC3Cl	Z2385989437	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493654822335025	Compound 2ab
Cc1c(C(N2CCN(CC2)CCO)=O)sc(n1)n1c(C)c(Cc2ccccc2)c(C)n1	D314-0218	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.49364406779661	Compound 2ab
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O 	Target_lig_477	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.49364406779661	Isis-22
CN(C)CCOC=1C=CC=C(C1)NC(=O)C=2C=C(N=C3C=CC=CC23)C4=CC=CO4	Z509583472	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.49364161849711	Compound 9
CCC(CC)NC=1C=CN=CC1NC(=O)C=2C=CC=C(C2)C3=CN=C4NC(=O)N(C)C4=C3	Z8462484378	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.49364161849711	Compound 10
CCC1(CC)C(CC1OC)NC(=O)C=2C=CC=3NC(CO)=NC3C2	Z2752837974	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.493638676844784	Compound 2ab
CN(CC1=NN=C2C=CC=CN12)C=3C=C(C(N)=O)C=4C=CC=CC4N3	Z1192143707	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.493626882966396	VS compound 8c
CN(C)CC(=O)NC=1C=CC=C(C1)CNC(=O)C2=CC(=NN2)C3CCCN3C	Z2878077672	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.493622448979592	Compound 9
CC1=CC(C)=NN1CC2CCCN2CC(N)=O	Z1139482708	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.493617021276596	Isis-22
