RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CCOC=1C=CC=CC1OCCCC(=O)NC2=NN=CN2	Z86427907	C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1	0.346203346203346	Benzimidazole 10
Cl.N=C(N)C=1C=CC=C(C1)C(N)C=2C=CC=C(Cl)C2	Z3405472845	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.346153846153846	Compound 9
Cl.CC=1N=CC=CC1NC(=O)[C@H](C)N	Z2240806043	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.346064814814815	Compound 4a
C[C@@H]1CN(CC=CC=2C=CC=CC2)CC(O1)C(N)=O	Z1416704686	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	0.345953002610966	Compound 4d
[Na+].CC1=CSC(=N1)C(F)C([O-])=O	Z2048189866	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.345926800472255	Compound 3b
Cl.CC(C)OC=1C=CN=C(C1)C(=O)O	Z5108472410	CCOc1ccc2c(c1)nc(nc2C)NC(=N)N	0.345911949685535	VS compound 8a
Cl.COC=1C=CNC(=O)C1CN	Z3033960668	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.34585635359116	dimethylamine_derivative
c1ccc2c(ccc(c2c1)Oc1ccc(cc1[Cl])N)[Cl]	5215844	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.345738295318127	Compound 1 (2017)
CC=1C=C(C=CC1C(=O)O)C=2C=CC=C(O)C2	Z4452016987	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.345718901453958	Compound 10
CC1=NC(CN2CCN(CC3CC(C3)C(F)(F)F)CC2)=NN1	Z3396751152	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.345652173913043	Benzimidazole13ibis
CC1CN(CC=2N=NN(C)N2)CCN(C1)C3CCC3	Z2208139298	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.345562130177515	Quindoline CK1-14
CC(CNCC=1C=CC(C#CC=2C=NNC2)=CC1)S(C)(=O)=O	Z2936916963	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.345541401273885	Compound 2ab
Cl.NC(CC(=O)O)C(=O)N=S1(=O)CCCC1	Z7169022577	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.345434543454345	Compound 2
Cl.NCC=1C=CC(=CC1C(F)(F)F)C(=O)O	Z5422501010	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.345425867507886	Compound 9
Cl.CC(C)CN(CCC(=O)O)C1CCN(C)CC1	Z1160866803	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.345323741007194	Compound 2ab
CC=1C=CC(CSC2=NN=C(N)N2)=C(Cl)C1	Z1892212602	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.345315904139433	Benzimidazole13ibis
COc1ccc(CCNCc2cccc(c2)C(F)(F)F)cc1	3169-1283	O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C1=NCCN1)C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1	0.34525939177102	Compound 8
NCC=1C=CC=C(C1)C=2C=CC(N)=NC2	Z1509705164	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.345161290322581	Compound 10
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O	242557	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.345132743362832	Benzimidazole13ibis
N#C[C@H]1CC[C@H](C1)NC(=O)N2CCC(CC2)N3CCCCC3 |&1:2,5,r|	Z2416533500	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.345104333868379	Compound 2ab
Cl.CC(C)N1C=NC=C1C(=O)O	Z3300394534	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	0.345102505694761	Benzimidazole 11 / Isis-11
COC=1C=CC(=CC1)C(NCC(N)=O)C=2C=CC(F)=CC2	Z1171409503	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.345092024539877	benzamide derivative
[Cl-].CN(C)C=1C=C[N+](=CC1)C(C=2C=CC=CC2)C=3C=CC=CC3	Z48836748	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.345070422535211	Compound 4a
CC(C=1C=CSC1)N2CCN(CC(N)=O)CC2	Z1693038262	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.345047923322684	Compound 2ab
Cl.O=C(O)C1CCN(C1)C=2C=CN=CC2	Z2379902227	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.344947735191638	Compound 4c
CC(SCC=1C=CC=CC1)C(=O)NC2=NN=CN2	Z647137716	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.344947735191638	Compound 4a
Cl.NCC1CSC2=CC=CC=C2O1	Z2379088782	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.344940152339499	Isis-22
Cl.CN1N=NC(CN)=C1C(F)(F)F	Z3380814782	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.344665885111372	Quindoline CK1-14
COc1ccc(CCNCc2cccc(c2)[Cl])cc1OC	2910-0465	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.344638949671772	Benzimidazole13ibis
Cl.NC1=CN(N=N1)C2CCOC2	Z3279228155	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(CC[NH+](C)C)CC3=C12	0.344519015659955	Benzimidazole 11 / Isis-11
Cl.CC(C)C(C(=O)O)N1C=NC=N1	Z600428320	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.344334433443344	dimethylamine_derivative
CC=1C=NC=NC1NCCC=2C=CNN2	Z3077803986	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.344334433443344	dimethylamine_derivative
CC(C)(C)c1ccc(CSc2nnc(N)s2)cc1	8012-4068	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.344334433443344	Benzimidazole13ibis
C(c1ccccc1)c1cc(ccc1OCCN)[Cl]	8019-8811	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.344334433443344	dimethylamine_derivative
O=C(O)C1CCC(CC1)C(=O)NC=2C=CNN2	Z2596713283	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.3441483198146	Compound 4c
CN1C=C(C=N1)CCNC(=O)NC2=NN=CS2	Z543765684	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.344120819848975	Isis-22
O=C(O)C(C(=O)NCC1CNC(=O)C1)C2CCCC2	Z4071329247	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.344073647871116	Compound 4c
Cl.COC=1C=C(C=CC1O)C[C@H](N)C(=O)O	Z2684264857	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.344062153163152	Benzimidazole13ibis
COc1cc(CNCc2ccc(c(c2)[Br])OC)cc(c1)OC	3702-1693	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.343921139101862	Benzimidazole13ibis
CC(C)(C)C1=CSC(CCNC=2N=CC=CN2)=N1	Z1129918702	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.343817787418655	Isis-22
O=C(O)C=1C=NC(=NC1)C=2C=CC=CC2Cl	Z274575504	CCN(CC)CCOC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4NC(=O)CCN5CCN(CC5)C	0.343712574850299	Compound 1 (2017)
O=C(NCCCN1CCCC1)C=2C=NC=NC2O	Z8610431563	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.34367816091954	Compound 4c
CN(C)C(C(C1=S)=O)=C1SC	365560	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.343607305936073	Compound 4c
CC1=NC=CN1CC=2C=CC=C3C=CC=CC23	Z56803490	C[NH+](C)CCCN1C(N)=[NH+]C2=CC=C3OC(C[NH+](C)C)=CC3=C12	0.3435960591133	IRAB
NC(=O)COCC1=CN(CC(=O)O)N=N1	Z6467121743	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.343529411764706	Quindoline CK1-14
Cl.N=C(N)C=1C=C(C=CN1)NC2CC2	Z1820007638	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.343529411764706	Compound 4a
CN(CCS(=O)(=O)CCC(N)=O)CC=1C=CC=C2C=CC=CC12	Z649548392	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.343213728549142	Compound 9
Cl.CN1CCC(O)(CC1)C2(CC2)C(=O)O	Z3470308117	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.343201754385965	Benzimidazole13ibis
O=C(NCCC1CCN(CC(F)(F)F)CC1)C2=CNN=N2	Z1337224690	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.343195266272189	Quindoline CK1-14
C(c1cn[nH]c1c1ccc(cc1)[Cl])N	8019-9983	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.343042071197411	Isis-22
Cl.CSCCCN1C[C@@H](O)C(C1)N(C)CC(=O)O	Z1762818691	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.342989571263036	Compound 4c
CC(C)(C)NCCOc1ccc(cc1)[Br].[Cl]	5728895	CCOc1ccc2c(c1)nc(nc2C)NC(=N)NC	0.342789598108747	VS compound 8
N[C@@H]1C[C@H](N)CN(C1)c1nc(NC2CCNC2)nc(n1)N1C[C@H](N)C[C@H](C1)N	Target_lig_1213	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.342763873775843	Isis-22
CC(=O)NC(CC=1C=CC(O)=CC1)C(=O)O	Z239130480	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.342679127725857	benzamide derivative
Cl.CN1N=C(C=C1C(=O)O)CN	Z2310727616	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.342361863488624	Isis-22
Cl.Cl.NCCC1=NC(=NO1)C=2C=CN=CC2	Z1359881959	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.342361863488624	Benzimidazole13ibis
O=C(NCCNC=1N=CC=CN1)C=2C=CC=NC2	Z381691450	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.342356687898089	Compound 10
O=C(O)C1CC1C2=CC=CC(O)=C2	Z1216651566	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.342251950947603	Benzimidazole13ibis
NC(CC(O)C1=CC=CC(O)=C1)C(=O)O	Z1510039445	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.342251950947603	Benzimidazole13ibis
