RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CCCN(C(=O)CN(C(=O)NCc1nnn(c1)CCCCC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CCC)CC(=O)N(CC(=O)N(Cc1nnn(c1)CCCCC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CC(=O)N)CCC	Target_lig_1615	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.570714642678661	DB18578
CN1C=NC=2CN(CCC2C1=O)S(=O)(=O)CC3=CC=CC4=CC=CN=C34	Z1754551812	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.570712136409228	DB18578
NC=1C=CN(CCCN2C=CN=C2)N1	Z820766538	c1cn(CCCCCCn2ccnc2)cn1	0.570707070707071	DB06968
NS(=O)(=O)CC=1C=CC(=CC1)CNC(=O)C=2C=CC=NC2O	Z192573954	O=C(NCCO[N+](=O)[O-])c1cccnc1	0.570707070707071	DB09220
O=C(O)C1CC2CCCCC2N1C(=O)C3=CNC(=O)C(Br)=C3	Z1443635451	CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O	0.570707070707071	DB14213
CCC=1C(=O)N=C(NC1N)C(C)(C)N	Z1267669665	CCN(C)Cc1cnc(C)nc1N	0.570707070707071	DB03653
FC(F)(F)C=1C=CC=CC1CNC=2C=CC=3N=CNC3C2	Z2158752243	Cc1ccccc1C(=O)Nc1ccccc1	0.570694087403599	DB14728
NC(=O)CC=1C=CC=CC1CC(=O)O	Z1262518652	NC(N)=N/C(N)=N/CCc1ccccc1	0.570680628272251	DB00914
COC=1C=CC(=CC1)C(C)CCNC(=O)C2=NC=CN2C	Z1287089032	CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C	0.570680628272251	DB06204
CSCC(C)C(=O)N1C[C@@H](O)C(C1)N(C)CC(=O)O	Z1762717878	NC(=O)CN1C[C@H](O)CC1=O	0.570666666666667	DB13601
