RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
O=P1(N(CCCl)CCCl)OCCC2N1CCCC2	68116	O=[P@]1(N(CCCl)CCCl)OCCCN1CCCl	0.711111111111111	DB12902
FC(F)CN1CCC(C1)NC=2N=CN=C3NC=CC23	Z2365180720	C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C	0.711084905660377	DB14924
c12cc(ccc1c(c1c(n2)ccc(c1)OC)NCCCCc1c(nc(nc1N)N)N)Cl 	Target_lig_563	CCN(CC)CCC[C@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	0.711084905660377	DB01103
CC(=O)N1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CCCC=4C=CC=CC4	Z223813958	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.711080897348742	DB08743
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(F)=CC4)CC3	Z238883416	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.711065573770492	DB08743
C=C(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4C)CC3	Z238883402	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.711041009463722	DB08882
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=C(Cl)C4	Z238920658	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710942441492726	DB08882
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4Cl)CC3	Z237731608	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710873664362036	DB08882
CC=1NC(=O)C(=CC1C=2C=CC=CC2)C(=O)O	Z1079111160	Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1	0.710823909531502	DB00235
CC(N)C1CCCN(C1)C=2N=CN=C3NC=CC23	Z2368383772	[NH3+]C1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1	0.710801393728223	DB08150
Cc1cc(Nc2ccccc2)n2c(n1)nc(c1ccc(cc1)[Cl])n2	D245-0159	Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1	0.71078431372549	DB08008
C1CN=C(N1)C2=CC(=CC=C2)NC(=O)C3=CC(=CC=C3)C(=O)NC4=CC=CC(=C4)C5=NCCN5 	Target_lig_982	O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1	0.710775047258979	DB11521
O=C(c1cccc(c1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	Target_lig_1573	O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1	0.710775047258979	DB11521
CN1C(=O)NC(=O)C=2NC(CC3(CC(=O)O)CCCC3)=NC21	Z1695921470	CCCn1c(=O)c2[nH]c([C@]34CC[C@](CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O	0.71076417419885	DB12569
Cc1ccccc1NC(c1c2CCCCCc2sc1N)=O	3261-0729	NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2	0.710702341137124	DB07398
NC(=O)CCC(NC(=O)C=1C=CC(Cl)=CC1)C(=O)O	Z56840111	C[C@@H](NC(=O)c1ccccc1)C(=O)O	0.710691823899371	DB08508
CCCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=C(Cl)C4	Z238920670	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710675931775111	DB08882
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(Cl)=CC=CC4Cl)CC3	Z238917602	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710675931775111	DB08882
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC(C)=C4)CC3	Z237731398	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710659898477157	DB08882
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=C(Cl)C=C4Cl)CC3	Z237731638	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710625	DB08882
CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(Cl)=CC=CC4Cl)CC3	Z239086232	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.710597826086957	DB08743
CCN1C=C(C=N1)CCN2CC=3C=CC=CC3C=4C=CC=CC4C2	Z1824236612	C=CCN1Cc2ccccc2-c2ccccc2C1	0.710526315789474	DB13727
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(Cl)=CC=CC4Cl)CC3	Z237736822	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710526315789474	DB08882
CCCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC(N)=O)CC3	Z238917570	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710509348807221	DB08882
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=C(Cl)C4	Z239083108	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710493046776233	DB08882
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4C)CC3	Z237733724	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.71047619047619	DB08882
CCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(C)=CC4)CC3	Z246669744	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.71047227926078	DB08743
C=C(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4Cl)CC3	Z238883410	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710444027517198	DB08882
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(Cl)=C(Cl)C4)CC3	Z238883336	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.71041948579161	DB08743
CN1C(=O)NC(=O)C2=C1N=C(N2CCSC=3N=CC=CN3)N4CCN(CCO)CC4	Z239547116	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.710401087695445	DB08743
NC=1N=CC=NC1C(=O)NCCC=2C=CC(=CC2)S(N)(=O)=O	Z211304772	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1	0.7104	DB01067
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4C)CC3	Z237731424	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710392902408112	DB08882
O=C(O)CCC1CCCCN1C(=O)C2=NNC=3C=CC=CC23	Z1609737531	O=C(N[C@@H]1CN2CCC1CC2)c1n[nH]c2ccccc12	0.710382513661202	DB05586
Cl.COC=1C=CC=2CC(N)COC2C1	Z1891776858	CN[C@@H](C)Cc1ccccc1OC	0.710365853658537	DB13624
C[C@@H]1CNC(=N1)c1ccc(cc1)NC(=O)Nc1ccc(cc1)C1=N[C@H](CN1)C	Target_lig_1572	O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1	0.710359408033827	DB11521
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(Cl)=CC=CC4Cl)CC3	Z238917638	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710344827586207	DB08882
CN1C(=O)NC(=O)C2=C1N=C(N2CCC=3C=CC=CC3)N4CCN(CC=5C=CC=CC5)CC4	Z238883352	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.710312075983718	DB08743
CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(F)=CC=CC4Cl)CC3	Z238875690	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.71026282853567	DB08882
COCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4Cl)CC3	Z237733662	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.710261569416499	DB08743
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4Cl)CC3	Z239086206	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.71024512884978	DB08882
CC=1C=CC=C(C1)CN2CCN(CC2)C3=NC4=C(C(=O)NC(=O)N4C)N3CC(C)C	Z237731302	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710209258084972	DB08882
O=C(NC1CCN(CC1)C2CCCCC2O)C3=NNC4=CC=CC=C34	Z1450372385	O=C(N[C@@H]1CN2CCC1CC2)c1n[nH]c2ccccc12	0.710208562019758	DB05586
CN(CC1=CC=CS1)CC2=NC=3C=CC=CC3C(=O)N2C=4C=CC(F)=CC4	Z195605394	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	0.71017101710171	DB04833
C=C(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC(N)=O)CC3	Z238883348	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.710070558050032	DB08882
O=C(NC1CC(C1)N2CCCCC2)C3=NNC4=CC=C(Br)C=C34	Z1954244510	O=C(N[C@@H]1CN2CCC1CC2)c1n[nH]c2ccccc12	0.710033076074972	DB05586
CC=1C=CC=CC1CN2CCN(CC2)C3=NC4=C(C(=O)NC(=O)N4C)N3CC(C)C	Z238917550	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.71002538071066	DB08882
CCn1c2C(N(C)C(N(C)c2nc1NCc1ccccn1)=O)=O	8013-6370	Cn1c(=O)c2[nH]c(N)nc2n(C)c1=O	0.70999115826702	DB01778
NC(=O)C=1C=CC(=CC1)OCCC(=O)N2CC3CCC(N)C3C2	Z2451106023	NC(=O)c1ccc(OCCCN2C[C@H]3CCC[C@H]3C2)cc1	0.70995670995671	DB16893
O=C(O)C1CC2CCCCC2N1C(=O)CC3=NC=CN3	Z2739990814	CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O	0.709886547811994	DB14213
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CCC=4C=CC=CC4)CC3	Z237733740	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.709876543209877	DB08743
COC=1C=CC(=CC1OC)C=2C(=O)C=3C=CC(=CC3OC2C)OCC(N)=O	Z374512000	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12	0.709859154929578	DB13182
CN(C)CCN1CCC(CNC(=O)C2CCCN2C(=O)C=3C=CC=CC3)CC1	Z1204792413	CCCN(CCC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccccc1	0.709844559585492	DB13431
CC(C)N1CCC(CC1)NC(=O)C2=NNC=3C=CC(Br)=CC23	Z1171744395	O=C(N[C@@H]1CN2CCC1CC2)c1n[nH]c2ccccc12	0.709821428571429	DB05586
CC=1C=C(NCC2CN(CCO2)C3CC3)N4N=CN=C4N1	Z1142725377	CCN(CC)c1cc(C)nc2ncnn12	0.709786276715411	DB09283
COC=1C=CC(=CC1)N2CCN(CC2)C3=NC4=C(C(=O)NC(=O)N4C)N3CCC(C)C	Z239547146	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709779179810726	DB08882
O=C(O)C1C2CCC(C2)N1CC(F)F	Z3074519558	O=C([O-])[C@@H]1C[C@@H]2CCCC[C@@H]2[NH2+]1	0.709770114942529	DB03409
O=C(NCC1CN(CCO1)C=2N=CN=C3NC=NC23)C4=CCCCO4	Z2732637185	c1nc(N2CCOCC2)c2[nH]cnc2n1	0.709766162310866	DB08780
O=C(NCC=1C=CC=CC1)C=2C=CC(=CC2)N3C=NC=4C=CC=CC43	Z87526775	Cc1cccc(-n2cnc3cc(N)ccc32)c1	0.709731543624161	DB07972
Cl.CC1=NC=2C=C(C=CC2N1CC=3C=CSC3)C(=O)O	Z1815155524	Cc1nc2ccccc2n1Cc1ccc(Cl)cc1	0.709726443768997	DB13611
CC(C)N(CC(N)=O)CC(=O)NC=1C=CC(=CC1)C(N)=O	Z124922436	CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0.709677419354839	DB17602
NCC=1C=CC(CNC=2N=CN=C3N=CNC23)=C(F)C1	Z1126203758	c1coc(CNc2ncnc3nc[nH]c23)c1	0.709677419354839	DB11336
COCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=C(Cl)C4	Z223824750	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.709655638082377	DB08743
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4F)CC3	Z238875544	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709616593337524	DB08882
CCCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC(=CC4)OC	Z238886646	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709514807813485	DB08882
NC(=O)CN(CC=1C=CC(Br)=CC1)C(=O)C=2C=CC=NC2	Z806449136	CCN(CC)C(=O)c1cccnc1	0.709497206703911	DB13655
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4Cl)CC3	Z237731308	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709433962264151	DB08882
CCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4)CC3	Z247606936	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.70938999314599	DB08743
CC(Cc1ccc2c(c1)OCO2)CNCCc1c2cc(ccc2[nH]c1C)OC	8013-0190	COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC	0.709349593495935	DB13403
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC(=CC4)OC	Z239083120	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709331651954603	DB08882
CN1C(=NC2=C1C(=O)NC(=O)N2C)NC3CCN(C3)C4CCCC4	Z1272366719	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.709285714285714	DB08743
CC=1C=CC=C(N1)N2C(=O)C=3OC=4C=CC=CC4C(=O)C3C2C=5C=CC(Cl)=CC5	Z1213745274	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.709262010896483	DB18578
Cl.Cl.NCCC1=CNC2=NC=C(F)C=C12	Z3386766102	[NH3+][C@@H](Cc1c[nH]c2ncccc12)C(=O)[O-]	0.709259259259259	DB04206
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)NCCC=3C=CC=CC3	Z223813970	CC(=O)CCCCn1cnc2c1c(=O)n(C)c(=O)n2C	0.70923209663503	DB18002
C(COc1cccc(c1)[Cl])N	8019-3866	OCCOc1ccc(Cl)cc1	0.709219858156028	DB11368
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=5C=CC=CC45)CC3	Z237736880	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709125475285171	DB08882
COC=1C=CC(=CC1Cl)N2C(=O)C=3C=CC=CC3N=C2SCC4=CC=CN=C4	Z316264090	CSc1nc2ccccc2c(=O)n1-c1c(F)cccc1F	0.709106239460371	DB08602
CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4F)CC3	Z238917588	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709068010075567	DB08882
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=C4F)CC3	Z237733644	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709068010075567	DB08882
CCOCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(Cl)=CC4)CC3	Z237731430	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.709066305818674	DB08743
COCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(F)=CC4)CC3	Z237733694	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.709066305818674	DB08743
Cn1c2nc(N/N=C\3/C4=C(C=C=C=C4)NC3=O)n(CC3=C=C=C(Cl)C=C3)c2c(=O)[nH]c1=O 	Target_lig_134	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.709036742800397	DB18578
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC(F)=CC4	Z992053708	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.709021601016518	DB08882
CCC(=O)N1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CCCC=4C=CC=CC4	Z1347815335	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.708980418636057	DB08743
COC1=CC=CC=C1C2=COC3=C(C2=O)C=CC(=C3CN4CCCCC4)O 	Target_lig_125	COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1	0.70897552130553	DB13579
CCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC(Cl)=CC4Cl)CC3	Z239085186	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708908406524467	DB08882
CN(C)CCN1C=C(C(=O)NC2CC(O)C=3C=CC=CC32)C=4C=CC=CC41	Z2645455687	CN(C)CCn1cc(C(=O)N2CCC3(CC2)OCc2ccccc23)c2ccc(Cl)cc21	0.708823529411765	DB12721
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=CC4	Z239085088	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708812260536398	DB08882
CCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C(Cl)=CC=CC4Cl)CC3	Z237733792	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708805031446541	DB08882
CN1CCN(CC2=NC3=C(C(=O)N(C)C(=O)N3C)N2CC=4C=CC=CC4)CC1	Z239546970	CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C	0.708779443254818	DB13203
C=C(C)CN1CCN(CC1)C2=NC3=C(C(=O)NC(=O)N3C)N2CCCC=4C=CC=CC4	Z238875714	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.708757637474542	DB08743
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC=5C=CC=CC45)CC3	Z237731408	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.70872567482737	DB08882
CNC1C(O)C(OCC1(C)O)OC1C(N)CC(C(C1O)OC1OC(CCC1N)C(CCNC(=O)c1ccc(c(c1)C(=O)O)c1c2ccc(=[N+](C)C)cc2oc2c1ccc(c2)N(C)C)C)N	Target_lig_1236	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.708723509117792	DB18578
CC=1C=CC(=CC1)S(=O)(=O)NCCN(C)C=2N=CN=C3N=CNC23	Z1272647252	c1nc(N2CCOCC2)c2[nH]cnc2n1	0.708708708708709	DB08780
O=C(C=1C=CC=C(F)C1)N2CCN(CC2)C(=O)C=3C=CC=4NC=NC4C3	Z343332094	O=C(c1ccc2nccnc2c1)N1CCCCC1	0.708703374777975	DB06247
CN1C(=O)NC(=O)C2=C1N=C(N2CCC=3C=CC=CC3)N4CCN(CC=5C=CC=CC5F)CC4	Z237731612	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708646616541353	DB08882
CCCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=CC4	Z238920654	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708545918367347	DB08882
O=C(NC=1C=CC(F)=C(Cl)C1)C=2C=CC=C(C2)NC=3N=CC=CN3	Z317166604	N=C(N)c1ccc2cc(C(=O)Nc3ccc(CN)cc3)cc(Nc3ncccn3)c2c1	0.7085346215781	DB03082
CC(C)CN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CCCC=4C=CC=CC4)CC3	Z238917670	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.708532423208191	DB08743
CSCCC(NC(=O)C1=CC=C2NC=3CCC(C)CC3C2=C1)C(=O)O	Z224144390	CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1	0.708490566037736	DB00998
CC(OC=1C=CC=CC1C(=O)NCC=2C=CC=CC2)C(N)=O	Z24936996	CCOc1ccccc1C(N)=O	0.708454810495627	DB13544
CC1=NN(C=2C=CC=CC2)C=3SC(=CC13)C(=O)N4CC(OC=5C=CC=CC54)C(N)=O	Z28777774	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.708415841584158	DB18578
CC=1C=C(NCC(=O)NC=2C=CC(F)=C(F)C2)N3N=CN=C3N1	Z64641117	CCN(CC)c1cc(C)nc2ncnn12	0.708379888268156	DB09283
CN1C=C(CC(=O)N[C@H]2CCC=3N=C(N)SC3C2)C(Cl)=N1	Z2482099482	CCCN[C@H]1CCc2nc(N)sc2C1	0.708378672470076	DB00413
O=C1C=2C=CC(=CC2CN1C3CCC(=O)NC3=O)C=4C=CC(=CC4)N5C=CC=N5	Z5000462591	O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1	0.708374384236453	DB01041
CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC3)C=4C=CC=CC4	Z239086710	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708359923420549	DB08882
NC=1N=CN=C2C1N=CN2CCC(=O)NC3CCNC3=O	Z2642880716	C[C@@H](O)Cn1cnc2c(N)ncnc21	0.708333333333333	DB02765
Cl.Cl.NCC=1C=C(Cl)C2=CC=CN=C2C1O	Z2696918790	Oc1ccc(Cl)c2cccnc12	0.708333333333333	DB15933
Cl.N[C@H]1CCCCC[C@H]1C(=O)O |&1:2,8,r|	Z2306862306	CCC[C@@H](C)C[C@H](N)CC(=O)O	0.708333333333333	DB12105
C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC=4C=CC=CC4F)CC3	Z237731572	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708306911857958	DB08882
NC1=CC(N)=NC(=N1)SCC2=NC=3C=C(Cl)C=CC3N2CC=4C=CC=CC4	Z326661500	Cc1nc2ccccc2n1Cc1ccc(Cl)cc1	0.708272859216256	DB13611
CC=1C=CC=2C(=CNC2C1)CC(=O)N3CCOC(C3)C(=O)O	Z1445269144	O=C(O)CNC(=O)Cc1c[nH]c2ccccc12	0.708196721311475	DB07952
COC=1C=CC(=CC1)N2CCN(CC2)C3=NC4=C(C(=O)NC(=O)N4C)N3CC(C)C	Z951472032	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.708149084017688	DB08882
CC(C)CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CCC=4C=CC=CC4)CC3	Z241744920	Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2C#N)n(C)c1=O	0.708133971291866	DB08743
CC=1C=CC(=CC1)CN2C(=O)CCC2C(=O)NCC=3C=CC(=CC3)C(N)=O	Z1273175138	CCCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1	0.708041958041958	DB06929
CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC4=CC=CC5=CC=CC=C45)CC3	Z238875740	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	0.707987220447284	DB08882
